N°,Región,Lugar del ataque,Fecha aprox.,Especie atacada,Indiv. muertos,Indiv. recuper.,Especie agresora
,XV,No hay,,,,,
,I,No hay,,,,,
1.0,II,M.N. La Portada.,6.2011,Ping. Humboldt,1,0,Jauria perros
2.0,II,M.N. La Portada.,4.2012,Guanay,0,300,Jauria perros
3.0,II,R.N. Los Flamencos.,8.2009,Zorro culpeo,0,0,Jauria perros
4.0,II,R.N. Los Flamencos.,7.2011,Vicuña var. australis,3,0,Jauria perros
5.0,III,P.N. Pan de Azucar.,2011,Guanaco,1,0,"Jauria
perros"
6.0,III,P.N. Pan de Azucar.,2010,Guanaco,3,0,"Jauria
perros"
7.0,III,P.N. Llanos del Challe.,2010,Guanaco,1,0,"Jauria
perros"
8.0,III,P.N. Pan de Azucar.,2009,Guanaco,2,0,"Jauria
perros"
9.0,III,P.N. Llanos del Challe.,2009,Guanaco,2,0,"Jauria
perros"
10.0,III,P.N. Pan de Azucar.,2008,Guanaco,2,0,"Jauria
perros"
11.0,III,P.N. Llanos del Challe.,2008,Guanaco,1,0,"Jauria
perros"
12.0,III,P.N. Pan de Azucar.,2007,Guanaco,1,0,Jauria perros
13.0,III,P.N. Llanos del Challe.,2007,Guanaco,2,0,
,IV,No hay,,,,,
14.0,V,"P.N. Archipielago Juan Fernandez.
Puerto Frances",10.10.07,Fardela,5,0,Gatos asilv.
15.0,V,"P.N. Archipielago Juan Fernandez.
Punta
Isla",04.02.08,Fardela,8,0,Gatos asilv.
16.0,V,"P.N. Archipielago Juan Fernandez.
Punta
Isla",13.02.08,Fardela,7,0,Gatos asilv.
17.0,V,"P.N. Archipielago Juan Fernandez.
Piedra
Agujereada",05.05.09,Fardela,15,0,Gatos asilv.
18.0,V,"P.N. Archipielago Juan Fernandez.
Pesca  de los Viejos",05.10.09,Fardela  y Lobos marinos,¿,0,Jauría perros
19.0,V,"P.N. Archipielago Juan Fernandez.
Piedra Agujereada",25.11.09,Fardela,10,0,Gatos asilv.
20.0,V,"P.N. Archipielago Juan Fernandez.
Vaqueria",04.05.10,Fardela,20,0,"Gatos asilv. y
Coatí"
21.0,V,"P.N. Archipielago Juan Fernandez.
Poblado
San  Juan Bautista",27.08.11,Lobos marinos,7,0,Jauría perros
22.0,V,"P.N. Archipielago Juan Fernandez.
Loberia
Tres Punta",08.02.12,Lobos marinos,10,0,Jauría perros
23.0,V,"P.N. Archipielago Juan Fernandez.
Loberia Tres
Punta",2012,Lobo marino (popito),1,0,Jauría perros
24.0,V,"P.N. La Campana.
Granizo",2009,"Zorro
culpeo",0,1,"Jauría
perros"
25.0,V,"P.N. La Campana.
Granizo",2010,"Zorro
culpeo",¿,¿,"Jauría
perros"
26.0,V,"P.N. La Campana.
Granizo",2011,"Zorro
chilla",1,0,"Jauría
perros"
27.0,V,"P.N. La Campana.
Granizo",2012,"Zorro
culpeo",1,0,"Jauría
perros"
28.0,V,R.N. Lago Peñuelas.,11.2009,Guanaco,1,0,"Jauría
perros"
29.0,V,R.N. Lago Peñuelas.,6.201,Quique,3,0,"Jauría
perros"
,R.M.,No hay,,,,,
,VI,No hay,,,,,
30.0,VII,R.N. Altos de Lircay.,2.2009,Zorro culpeo,1,0,Jauría perros
31.0,VIII,R.N. Nonguen.,10.2011,Zorro culpeo,1,0,Jauría perros
32.0,VIII,R.N. Nonguen.,2.2012,Pudú,1,0,Jauría perros
33.0,VIII,R.N. Nonguen.,8.2012,Chuncho,1,0,Gato asilv.
34.0,VIII,R.N. Isla Mocha.,2012,Fardela,¿,¿,Gato asilv.
35.0,VIII,R.N. Isla Mocha.,2010,Pudú,1,0,"Jauría
perros"
36.0,IX,M.N. Cerro Ñielol.,5.2008,"Puma
(cachorro)",1,0,"Jauría
perros"
37.0,IX,P.N. Nahuelbuta.,2008,Pudú,1,0,"Jauría
perros"
,XIV,No hay,,,,,
38.0,X,P.N. Vicente Perez Rosales,2009,Pudú,1,0,"Jauría
perros"
39.0,X,P.N. Chiloe.,2010,Coipo,1,0,"Jauría
perros"
40.0,X,P.N. Chiloe.,2011,"Zorro
chilote",1,0,"Jauría
perros"
41.0,X,P.N. Chiloe.,2012,Pudú,1,0,"Jauría
perros"
42.0,XI,R.N. Tamango.,2007,Huemul,6,0,"Jauría
perros"
43.0,XI,R.N. Tamango.,6.2008,Huemul,1,0,"Jauría
perros"
44.0,XI,R.N. Tamango.,9.201,Huemul,1,0,"Jauría
perros"
45.0,XI,R.N. Lago Carlota.,2010,Huemul,1,0,"Jauría
perros"
46.0,XI,R.N. Tamango. ,2011,Guanaco,,,"Jauría
perros"
,XII,No hay,,,,,
